1860 Munich,
AaB,
Aarhus Fremad,
ACS UTA Batrana Doamna,
Adanaspor,
Adelaide United,阿德莱德联
AGF Aarhus,
Alemannia Aachen,
Altay,
Amiens,亚眠
Anadolu Selcukluspor,
Anzhi Makhachkala,
APIA Leichhardt Tigers (n),莱卡特老虎
Arsenal,阿森纳
AS Roma,罗马
Atalanta BC,亚特兰大
Athletic Club Bilbao,毕尔巴鄂竞技
Avispa Fukuoka,福冈黄蜂
Ayr United,艾尔联
Bagcilar Spor Kulubu,
Baltika,
Barcelona,巴塞罗那
Batman Petrolspor,
Bayer Leverkusen,勒沃库森
Bayrampasa,
Beijing Guoan,
Belediye Vanspor,
Bentleigh Greens,
Bodo Glimt,博德闪耀
Bologna,
Bologna FC U19,
Bordeaux,波尔多
Borussia Dortmund,多特蒙德
Borussia Monchengladbach,门兴格拉德巴赫
Brentford,布伦特福德
Brommapojkarna,布鲁马波卡纳
Buriram United,
Caen,卡昂
Cagliari,卡利亚里
Cagliari Calcio U19,
CD Junior Barranquilla,
Celta Vigo,维戈塞尔塔
Celtic,凯尔特人
Cercle Brugge,
CF Monterrey,蒙特雷
Chaika Peschanokopskoye,
Chelsea,切尔西
Chiangrai United,
Chicago Fire,芝加哥火焰
Chievo,切沃
Chivas Guadalajara,瓜达拉哈拉
Club Atletico Zacatepec,萨卡特佩克
Colon de Santa Fe,
Consadole Sapporo,札幌冈萨多
Corinthians,科林蒂安
Cracovia Krakow,
Cremonese,
Cruzeiro,克鲁塞罗
CSM Politehnica Iasi,
Dalkurd FF,达尔库尔德人
Dalum If,
Darica Genclerbirligi,
Dijon,第戎
Dinamo Moscow,
Djurgardens IF,佐加顿斯
Dorados,
Duisburg,杜伊斯堡
Eintracht Frankfurt,法兰克福
Elazigspor,
Elfsborg,埃尔夫斯堡
Energetyk Row,
Erzgebirge Aue,奥厄
Esbjerg FB,
FC Akhmat Grozny,
FC Basel,
FC Heidenheim,海登海姆
FC Inter Turku,
FC Lahti,
FC Magdeburg,马格德堡
FC Midtjylland,
FC Nordsjaelland,
FC Seoul,首尔FC
FC Ufa,
FC Vaduz,
FC Wil,
Fethiyespor,
FK Chernomorets Novorossiysk,
FK Luki-Energiya,
FK Rostov,
Flamengo,弗拉门戈
Foggia,
Fortuna Dusseldorf,杜塞尔多夫
Fortuna Koln,
Fredericia,
Frosinone,
Frosinone Calcio U19,弗洛西诺内
FSV Zwickau,
Genk,
Genoa,热那亚
GKS Gornik Leczna,
GKS Jastrzebie Zdroj,
GKS Tychy,
Global Cebu FC,
Guangzhou R&F,
Guingamp,甘冈
Gumushanespor,
Hacettepe Spor Klubu,
Hammarby,哈马比
Hatayspor,
HB Koge,
Hearts,哈茨
Heidelberg United,
Hereford FC,
Herkenrath 09,
Hiroshima Sanfrecce FC,广岛三箭
HJK Helsinki,
Houston Dynamo,休斯敦迪纳摩
IFK Norrkoping,北雪平
Ik Start,斯达
Ilves,
Incheon United,仁川联
Inegolspor,
Istanbulspor Region,
Jahn Regensburg,雷根斯堡
Jammerbugt Fc,
Jeonbuk Motors,全北现代
Jeonnam Dragons,全南天龙
JP Voltes Marikina FC,
Jubilo Iwata,磐田喜悦
Juventus,
Karagumruk,
Karlsruher SC,
Kashima Antlers,鹿岛鹿角
Kasimpasa Erokspor,
Kawasaki Frontale,川崎前锋
KFCO Beerschot-Wilrijk,
Khimki,
Kirsehir Belediyespor,
KS Legionovia Legionowo,
KS Polonia Sroda Wlkp,
KV Mechelen,
Kyoto Sanga FC,京都不死鸟
Lausanne,
Lazio,拉齐奥
Leganes,莱加内斯
Liaoning Whowin,
Lille,里尔
Liverpool,利物浦
Lokomotiv Moscow,
Lommel United,
Lugano,
Luzern,
Lyon,里昂
Macclesfield Town,
Mainz 05,美因茨
Malmo FF,马尔默
Marseille,马赛
Meixian Techand,
Mgladbach II,
Montpellier HSC,蒙彼利埃
Motherwell,马瑟韦尔
Naestved,
Napoli,那不勒斯
Neuchatel Xamax,
New York City,纽约城
Nimes Olympique,尼姆
Nottingham Forest,诺丁汉森林
Nuova Cosenza Calcio,
Nurnberg,纽伦堡
Olimpiyets Nizhny Novgorod,
Osnabruck,
Ostersunds FK,厄斯特松德
Padova,
Palmeiras,帕尔梅拉斯
Paris Saint Germain,
Parma FC,帕尔马
Philadelphia Union,费城联合
Piast Gliwice,
Polpharma Starogard Gdanski,
Puebla FC,普埃布拉
Pumas UNAM,美洲狮
Queretaro FC,
Rangers,格拉斯哥流浪者
Ratchaburi,
RB Leipzig,莱比锡红牛
Real Madrid,皇家马德里
Reims,
Rennes,
Rks Radomiak Radom,
Rosenborg Bk,罗森博格
Roskilde,
Rot-Weiss Essen,
Royal Antwerp,
Rubin Kazan,
Sampdoria,桑普多利亚
Sancaktepe,
SC Paderborn 07,帕德博恩
Sevilla,塞维利亚
Shonan Bellmare,湘南海洋
Sile Yildizspor,
Silivrispor,
Silkeborg IF,
Sisaket FC,
Ska-Khabarovsk,
SonderjyskE,
Spartak Moscow,
SpVgg Unterhaching,
St Gallen,
St Johnstone,圣约翰斯通
St Pauli,圣保利
Stoke City,斯托克城
Strasbourg,斯特拉斯堡
Stuttgart,斯图加特
Sundsvall,松兹瓦尔
SV Sandhausen 1916,桑德豪森
Syzran-2003,
Tigres,老虎大学
Torino,都灵
Torpedo Moscow,
Tottenham Hotspur (n),托特纳姆热刺
Trelleborgs,特雷勒堡
Truro City,
Udinese,乌迪内斯
Uerdingen,
US Sassuolo Calcio U19,萨索洛
Valencia,巴伦西亚
Valerenga,瓦勒伦加
VFR Aalen,
Villarreal CF,比利亚雷亚尔
Volgar Astrakhan,
Watford,沃特福德
Wattenscheid,
West Ham United,
Winterthur,
Wolfsburg,沃尔夫斯堡
Wuppertaler,
Yenisey Krasnoyarsk,
Young Boys,
Zenit St Petersburg,
Zonguldak Komurspor,
,
,瓦斯科达伽马
,
,
,桑托斯
,
,
,
,
,赫罗纳
,
,
,IFK哥德堡
,
,
,
,
,AIK索尔纳
,
,赫根
,斯特罗姆加斯特
,
,卡尔马
,汉堡
,班菲尔德
,皇家贝蒂斯
,
,
,
,
,
,莱万特
,科隆竞技
,
,海于格松
,
,
,
,阿拉维斯
,
,
,
,格罗宁根
,
,
,
,特温特
,
,
,防御与正义
,
,
,
,乌德勒支
,
,
,
,
,沙维什
,
,
,
,赫塔费
,
,雷恩
,
,
,
,
,
,
,
,
,
,
,
,恩波利
,
,
,
,
,
,
,
,
,本菲卡
,
,
,
,马斯特里赫特
,巴兰基亚青年
,
,
,
,
,费拉拉SPAL
,
,
,
,
,
,
,巴利亚多利德
,菲尔特
,
,
,
,
,
,
,
,
,
,
,
,AC米兰
